CIRCUS NAME,VENUE NAME,ADDRESS,CITY,STATE,ZIP,COORDS,City / Area,STATE,Show Date
ESC,Saanich fairgrounds,1528 Stelly's Cross Road,Saanichton,BC,V8M 1S8,"48.581870972217246, -123.436558272361",Saanichton,BC,"Tuesday, April 1, 2025"
ESC,Saanich fairgrounds,1528 Stelly's Cross Road,Saanichton,BC,V8M 1S8,"48.581870972217246, -123.436558272361",Saanichton,BC,"Wednesday, April 2, 2025"
ESC,Saanich fairgrounds,1528 Stelly's Cross Road,Saanichton,BC,V8M 1S8,"48.581870972217246, -123.436558272361",Saanichton,BC,"Thursday, April 3, 2025"
ESC,Saanich fairgrounds,1528 Stelly's Cross Road,Saanichton,BC,V8M 1S8,"48.581870972217246, -123.436558272361",Saanichton,BC,"Friday, April 4, 2025"
ESC,Saanich fairgrounds,1528 Stelly's Cross Road,Saanichton,BC,V8M 1S8,"48.581870972217246, -123.436558272361",Saanichton,BC,"Saturday, April 5, 2025"
ESC,Saanich fairgrounds,1528 Stelly's Cross Road,Saanichton,BC,V8M 1S8,"48.581870972217246, -123.436558272361",Saanichton,BC,"Sunday, April 6, 2025"
ESC,Saanich fairgrounds,1528 Stelly's Cross Road,Saanichton,BC,V8M 1S8,"48.581870972217246, -123.436558272361",Saanichton,BC,"Monday, April 7, 2025"
ESC,Saanich fairgrounds,1528 Stelly's Cross Road,Saanichton,BC,V8M 1S8,"48.581870972217246, -123.436558272361",Saanichton,BC,"Tuesday, April 8, 2025"
ESC,Saanich fairgrounds,1528 Stelly's Cross Road,Saanichton,BC,V8M 1S8,"48.581870972217246, -123.436558272361",Saanichton,BC,"Wednesday, April 9, 2025"
ESC,Saanich fairgrounds,1528 Stelly's Cross Road,Saanichton,BC,V8M 1S8,"48.581870972217246, -123.436558272361",Saanichton,BC,"Thursday, April 10, 2025"
ESC,Saanich fairgrounds,1528 Stelly's Cross Road,Saanichton,BC,V8M 1S8,"48.581870972217246, -123.436558272361",Saanichton,BC,"Friday, April 11, 2025"
ESC,Saanich fairgrounds,1528 Stelly's Cross Road,Saanichton,BC,V8M 1S8,"48.581870972217246, -123.436558272361",Saanichton,BC,"Saturday, April 12, 2025"
ESC,Saanich fairgrounds,1528 Stelly's Cross Road,Saanichton,BC,V8M 1S8,"48.581870972217246, -123.436558272361",Saanichton,BC,"Sunday, April 13, 2025"
ESC,Saanich fairgrounds,1528 Stelly's Cross Road,Saanichton,BC,V8M 1S8,"48.581870972217246, -123.436558272361",Saanichton,BC,"Monday, April 14, 2025"
ESC,Nanaimo North Town Centre,4750 Rutherford Rd,Nanaimo,BC,V9T 4K6,"49.21750466377351, -124.02779601980748",Nanaimo,BC,"Tuesday, April 15, 2025"
ESC,Nanaimo North Town Centre,4750 Rutherford Rd,Nanaimo,BC,V9T 4K6,"49.21750466377351, -124.02779601980748",Nanaimo,BC,"Wednesday, April 16, 2025"
ESC,Nanaimo North Town Centre,4750 Rutherford Rd,Nanaimo,BC,V9T 4K6,"49.21750466377351, -124.02779601980748",Nanaimo,BC,"Thursday, April 17, 2025"
ESC,Nanaimo North Town Centre,4750 Rutherford Rd,Nanaimo,BC,V9T 4K6,"49.21750466377351, -124.02779601980748",Nanaimo,BC,"Friday, April 18, 2025"
ESC,Nanaimo North Town Centre,4750 Rutherford Rd,Nanaimo,BC,V9T 4K6,"49.21750466377351, -124.02779601980748",Nanaimo,BC,"Saturday, April 19, 2025"
ESC,Nanaimo North Town Centre,4750 Rutherford Rd,Nanaimo,BC,V9T 4K6,"49.21750466377351, -124.02779601980748",Nanaimo,BC,"Sunday, April 20, 2025"
ESC,Nanaimo North Town Centre,4750 Rutherford Rd,Nanaimo,BC,V9T 4K6,"49.21750466377351, -124.02779601980748",Nanaimo,BC,"Monday, April 21, 2025"
ESC,Nanaimo North Town Centre,4750 Rutherford Rd,Nanaimo,BC,V9T 4K6,"49.21750466377351, -124.02779601980748",Nanaimo,BC,"Tuesday, April 22, 2025"
ESC,Nanaimo North Town Centre,4750 Rutherford Rd,Nanaimo,BC,V9T 4K6,"49.21750466377351, -124.02779601980748",Nanaimo,BC,"Wednesday, April 23, 2025"
ESC,Nanaimo North Town Centre,4750 Rutherford Rd,Nanaimo,BC,V9T 4K6,"49.21750466377351, -124.02779601980748",Nanaimo,BC,"Thursday, April 24, 2025"
ESC,Nanaimo North Town Centre,4750 Rutherford Rd,Nanaimo,BC,V9T 4K6,"49.21750466377351, -124.02779601980748",Nanaimo,BC,"Friday, April 25, 2025"
ESC,Nanaimo North Town Centre,4750 Rutherford Rd,Nanaimo,BC,V9T 4K6,"49.21750466377351, -124.02779601980748",Nanaimo,BC,"Saturday, April 26, 2025"
